"IN","av","count"
419,105.24625,8
420,20.32,2
422,60,1
423,60,1
424,58.3222222222222,9
425,60,1
426,77.62,3
428,36.082,5
429,28.9735714285714,28
430,49.5253846153846,26
431,41.25,1
432,23.51,2
433,33.9926666666667,15
434,69.9972727272727,11
435,73.07,2
436,60,4
437,102.723888888889,18
438,117.35,1
439,78.89,1
440,55.4586363636364,22
441,43.195,2
442,51.605,20
443,60.55,1
444,19.8,5
445,103.95,10
446,99.9875,4
447,24.8009090909091,22
448,63.575,4
449,60,1
450,60,1
451,60,2
452,50.4088,25
455,0.14,2
456,58.3533333333333,18
457,60,1
458,5.92,1
459,60,1
460,56.5,1
461,55.1726086956522,23
462,60,3
463,33.8233333333333,3
464,0.13,1
465,67.101875,16
466,60,5
467,46.230350877193,57
468,99.15,2
469,12.5,1
470,58.2642857142857,21
471,103.76,3
472,49.006,5
473,5.52,1
474,78.0692105263158,38
475,52.808,5
476,47.36,1
477,55.39,4
478,0.09,1
479,49.7763636363636,11
481,0.145,2
482,105.170555555556,18
483,83.8886666666667,15
484,78.5957894736842,19
486,48.26,8
487,60,1
488,38.9633333333333,3
489,95.81,1
490,66.03875,16
491,60,2
492,60,5
493,80.9277777777778,9
494,38.08,2
495,33.9206060606061,33
496,39.52,3
497,26.805,4
499,30.145,2
500,0.223125,16
501,54.62,1
502,23.64,1
504,60,1
505,63.8640740740741,27
506,57.065,8
507,60,1
508,60,1
510,16.9209090909091,11
511,44.4307692307692,13
512,30.03,2
513,78.44,2
514,68.0790243902439,41
515,71.9792857142857,14
516,37.7563636363636,22
517,60,12
518,66.3141176470588,17
519,111.04,1
520,60,1
521,82.1484210526316,19
522,71.175,2
523,36.4884615384615,26
524,35.68,18
525,60,1
526,128.046086956522,23
527,22.91,1
528,60,1
529,61.9385714285714,21
530,77.43,16
531,91.4471428571429,7
532,64.2457142857143,14
533,93.77,3
534,80.3438095238095,42
535,78.495,2
536,105.195,2
537,74.1,5
540,60,1
541,33.16,1
542,58.120625,16
543,101.004090909091,22
544,68.1727272727273,11
545,84.2335714285714,14
546,30.035,2
547,53.015,4
548,76.4047368421053,19
549,34.485,8
550,31.0894736842105,19
552,109.29,1
553,63.4436111111111,36
554,60,1
555,78.6014285714286,7
556,21.13,1
557,49.1030769230769,13
558,66.8025,4
561,47.27,2
562,64.9633333333333,12
563,60,1
564,72.7232142857143,28
565,60,2
566,51.58,35
567,60,2
568,154.95,3
569,17.83,1
570,80.46,1
571,46.5333333333333,6
572,166.66625,24
575,77.2775,28
576,60,1
577,60,1
578,7.19,1
579,63.7275,8
580,34,1
581,62.13,1
583,60,2
584,16.66,4
585,60,2
586,40.9971428571429,21
587,12.42,1
588,61.8014285714286,7
589,52.4475,20
590,60,1
591,73.53,5
592,21.5278571428571,14
593,42.4133333333333,9
594,48.3766666666667,9
595,60,4
596,46.68,2
597,39.0192307692308,26
599,67.17,1
601,137.53,1
602,77.4783870967742,31
603,5.69,2
604,79.4948148148148,27
605,116.4,1
606,52.625,2
607,60,1
608,68.0833333333333,6
609,113.929824561404,57
610,79.3514285714286,7
611,54.1838888888889,18
612,54.7044444444444,9
614,34.435,2
615,72.52,1
616,66.1266666666667,6
618,101.714375,16
619,70.35,13
620,57.2113157894737,38
621,55.6133333333333,9
622,40.9666666666667,3
623,77.797037037037,27
624,78.31,1
625,45.748,5
626,50.6355555555556,9
627,22.5425,4
628,59.17,3
629,83.7233333333333,3
630,60,1
632,23.27,2
633,87.1,10
634,60,1
635,39.93625,8
636,86.55,7
637,85.465,2
638,60,2
641,6.59,1
642,92.344,5
644,146.333333333333,3
645,38.61,1
646,68.96,1
647,17.14,1
648,60.8894117647059,17
649,51.73,1
650,47.85,4
651,161.23,1
652,0.21,1
653,23.495,2
654,92.8025,4
655,180.69,1
656,24.104,10
657,84.9122222222222,9
658,58.1022222222222,9
660,103.996296296296,27
661,46.2325,4
662,60,1
663,24.66,2
664,55.1222222222222,18
665,60,2
666,141.315,2
667,43.8973684210526,19
668,100.608,5
669,37.3341379310345,29
670,26.0742857142857,14
671,61.9155555555556,9
672,28.91,1
673,43.9942857142857,7
674,99.1739130434783,23
675,87.3632,25
676,59.84,1
677,38.3783333333333,18
678,0.19,2
679,60,1
680,45.1561538461538,13
682,49.0333333333333,3
683,72.73,2
684,45.72,1
685,19.78,1
686,41.27,4
687,54.8713333333333,15
688,6.81571428571429,7
689,64.6183333333333,6
691,41.09,1
694,37.2946666666667,15
695,60,1
696,36.8766666666667,6
697,45.29,2
698,60,1
700,62.17625,8
702,45.83,1
703,60,1
705,57.203,20
706,82.8466666666667,21
707,30.05,2
